date,price
2009-10-05,0.000764
2009-10-06,0.000873
2009-10-07,0.001086
2009-10-08,0.001084
2009-10-09,0.001272
2009-10-10,0.00112
2009-10-11,0.001153
2009-10-12,0.001102
2009-10-13,0.001129
2009-10-14,0.001136
2009-10-15,0.00117
2009-10-16,0.001268
2009-10-17,0.001241
2009-10-18,0.001255
2009-10-19,0.001248
2009-10-20,0.001233
2009-10-21,0.001211
2009-10-22,0.00122
2009-10-23,0.001257
2009-10-24,0.001273
2009-10-25,0.001288
2009-10-26,0.001266
2009-10-27,0.001263
2009-10-28,0.00127
2009-10-29,0.001266
2009-10-30,0.001256
2009-10-31,0.001262
2009-11-01,0.001221
2009-11-02,0.001256
2009-11-03,0.001228
2009-11-04,0.001306
2009-11-05,0.001306
2009-11-06,0.001286
2009-11-07,0.001262
2009-11-08,0.001234
2009-11-09,0.001281
2009-11-10,0.001257
2009-11-11,0.001299
2009-11-12,0.001356
2009-11-13,0.001355
2009-11-14,0.001243
2009-11-15,0.001257
2009-11-16,0.001189
2009-11-17,0.001131
2009-11-18,0.001193
2009-11-19,0.001091
2009-11-20,0.001054
2009-11-21,0.001047
2009-11-22,0.001059
2009-11-23,0.001055
2009-11-24,0.000927
2009-11-25,0.000993
2009-11-26,0.000897
2009-11-27,0.00086
2009-11-28,0.000824
2009-11-29,0.000889
2009-11-30,0.000824
2009-12-01,0.000811
2009-12-02,0.000795
2009-12-03,0.000771
2009-12-04,0.000702
2009-12-05,0.000781
2009-12-06,0.000733
2009-12-07,0.000727
2009-12-08,0.0007
2009-12-09,0.000687
2009-12-10,0.00068
2009-12-11,0.000665
2009-12-12,0.00064
2009-12-13,0.000618
2009-12-14,0.000693
2009-12-15,0.000692
2009-12-16,0.000622
2009-12-17,0.000656
2009-12-18,0.000616
2009-12-19,0.000687
2009-12-20,0.000627
2009-12-21,0.000627
2009-12-22,0.000633
2009-12-23,0.000633
2009-12-24,0.00065
2009-12-25,0.000633
2009-12-26,0.000668
2009-12-27,0.000633
2009-12-28,0.000611
2009-12-29,0.000633
2009-12-30,0.000643
2009-12-31,0.000633
2010-01-01,0.000745
2010-01-02,0.000718
2010-01-03,0.000734
2010-01-04,0.000773
2010-01-05,0.000774
2010-01-06,0.000768
2010-01-07,0.000718
2010-01-08,0.000718
2010-01-09,0.00077
2010-01-10,0.000706
2010-01-11,0.000718
2010-01-12,0.000741
2010-01-13,0.000777
2010-01-14,0.000718
2010-01-15,0.000749
2010-01-16,0.002831
2010-01-17,0.0028
2010-01-18,0.002946
2010-01-19,0.002755
2010-01-20,0.002919
2010-01-21,0.002893
2010-01-22,0.003024
2010-01-23,0.003206
2010-01-24,0.003296
2010-01-25,0.003203
2010-01-26,0.003333
2010-01-27,0.00314
2010-01-28,0.003281
2010-01-29,0.003259
2010-01-30,0.003285
2010-01-31,0.003298
2010-02-01,0.003295
2010-02-02,0.003359
2010-02-03,0.003496
2010-02-04,0.00357
2010-02-05,0.003635
2010-02-06,0.003644
2010-02-07,0.003735
2010-02-08,0.003726
2010-02-09,0.003857
2010-02-10,0.003857
2010-02-11,0.003847
2010-02-12,0.003911
2010-02-13,0.004005
2010-02-14,0.004052
2010-02-15,0.004147
2010-02-16,0.004287
2010-02-17,0.004261
2010-02-18,0.00439
2010-02-19,0.004415
2010-02-20,0.004589
2010-02-21,0.004662
2010-02-22,0.004701
2010-02-23,0.004832
2010-02-24,0.004985
2010-02-25,0.005094
2010-02-26,0.005104
2010-02-27,0.005168
2010-02-28,0.005208
2010-03-01,0.005397
2010-03-02,0.005472
2010-03-03,0.005472
2010-03-04,0.005472
2010-03-05,0.005472
2010-03-06,0.005472
2010-03-07,0.005457
2010-03-08,0.005407
2010-03-09,0.005472
2010-03-10,0.005472
2010-03-11,0.005496
2010-03-12,0.005472
2010-03-13,0.005472
2010-03-14,0.005435
2010-03-15,0.005472
2010-03-16,0.005472
2010-03-17,0.005429
2010-03-18,0.005472
2010-03-19,0.00543
2010-03-20,0.005486
2010-03-21,0.005477
2010-03-22,0.005469
2010-03-23,0.005424
2010-03-24,0.005472
2010-03-25,0.005472
2010-03-26,0.005472
2010-03-27,0.005496
2010-03-28,0.005472
2010-03-29,0.005472
2010-03-30,0.005472
2010-03-31,0.005463
2010-04-01,0.00543
2010-04-02,0.005472
2010-04-03,0.005472
2010-04-04,0.005419
2010-04-05,0.005435
2010-04-06,0.005446
2010-04-07,0.005472
2010-04-08,0.005451
2010-04-09,0.005417
2010-04-10,0.005472
2010-04-11,0.005432
2010-04-12,0.005458
2010-04-13,0.005479
2010-04-14,0.005472
2010-04-15,0.005486
2010-04-16,0.005478
2010-04-17,0.005421
2010-04-18,0.005476
2010-04-19,0.005472
2010-04-20,0.005472
2010-04-21,0.005472
2010-04-22,0.005435
2010-04-23,0.005424
2010-04-24,0.005472
2010-04-25,0.003
2010-04-26,0.003
2010-04-27,0.003016
2010-04-28,0.003058
2010-04-29,0.003036
2010-04-30,0.003
2010-05-01,0.003
2010-05-02,0.003072
2010-05-03,0.003
2010-05-04,0.003059
2010-05-05,0.003275
2010-05-06,0.004083
2010-05-07,0.004206
2010-05-08,0.003476
2010-05-09,0.003441
2010-05-10,0.0039
2010-05-11,0.004043
2010-05-12,0.004376
2010-05-13,0.004376
2010-05-14,0.004
2010-05-15,0.004022
2010-05-16,0.004
2010-05-17,0.004
2010-05-18,0.004639
2010-05-19,0.004532
2010-05-20,0.004583
2010-05-21,0.0045
2010-05-22,0.004466
2010-05-23,0.0047
2010-05-24,0.004764
2010-05-25,0.004845
2010-05-26,0.004501
2010-05-27,0.004557
2010-05-28,0.004547
2010-05-29,0.004491
2010-05-30,0.004485
2010-05-31,0.004485
2010-06-01,0.004459
2010-06-02,0.004444
2010-06-03,0.004411
2010-06-04,0.004485
2010-06-05,0.004485
2010-06-06,0.004472
2010-06-07,0.004518
2010-06-08,0.004518
2010-06-09,0.004581
2010-06-10,0.005
2010-06-11,0.005046
2010-06-12,0.005091
2010-06-13,0.005
2010-06-14,0.005
2010-06-15,0.005
2010-06-16,0.005
